State_Well_Number,Measurement_Date,RP_Elevation,GS_Elevation,RPWS,WSE,GSWS,QM_Code,NM_Code,Agency,Comment
13N14W11B002M,10-08-2002 00:00,403,400,36.2,366.8,33.2,,,5050,""
13N14W11B002M,10-09-2002 00:00,403,400,36.42,366.58,33.42,,,5562,""
13N14W11B002M,10-10-2002 00:00,403,400,36.37,366.63,33.37,,,5562,""
13N14W11B002M,11-22-2002 12:00,403,400,27.67,375.33,24.67,,,5562,""
13N14W11B002M,01-27-2003 12:00,403,400,16.55,386.45,13.55,,,5562,""
13N14W11B002M,02-21-2003 11:20,403,400,17.7,385.3,14.7,,,5562,"SET UP TEST #2 AT 30 MINUTE INTERVAL; SET REF. LEVEL = 17.70 FT."
13N14W11B002M,03-21-2003 17:00,403,400,17.4,385.6,14.4,,,5562,"DATALOGGER READING: 17.389 FT ON 3/21"
13N14W11B002M,03-31-2003 14:10,403,400,17.91,385.09,14.91,,,5562,""
13N14W11B002M,04-07-2003 15:10,403,400,18.35,384.65,15.35,,,5562,"DATALOGGER READING: 18.369 FT ON 4/7"
13N14W11B002M,04-15-2003 00:00,403,400,17.6,385.4,14.6,,,5050,""
13N14W11B002M,05-14-2003 17:30,403,400,16.42,386.58,13.42,,,5562,"DATALOGGER READING: 16.407 FT ON 5/14"
13N14W11B002M,06-12-2003 17:00,403,400,23.56,379.44,20.56,,,5562,"DATALOGGER READING: 23.54 FT ON 6/13 @ 16:20"
13N14W11B002M,07-22-2003 14:15,403,400,31.09,371.91,28.09,,,5562,"DATALOGGER READING: 31.07 FT ON 7/22 @ 14:15"
13N14W11B002M,08-18-2003 18:15,403,400,34.56,368.44,31.56,,,5562,"DATALOGGER READING: 34.51 FT ON 8/18 @ 18:15"
13N14W11B002M,09-09-2003 13:15,403,400,34.95,368.05,31.95,,,5562,""
13N14W11B002M,10-23-2003 10:45,403,400,32.99,370.01,29.99,,,5562,"DATALOGGER READING: 32.94 FT ON 10/23/03 @ 10:45"
13N14W11B002M,11-19-2003 00:00,403,400,27,376,24,,,5050,""
13N14W11B002M,11-24-2003 12:40,403,400,26.11,376.89,23.11,,,5562,""
13N14W11B002M,01-20-2004 13:30,403,400,16.45,386.55,13.45,,,5562,""
13N14W11B002M,02-19-2004 12:04,403,400,15.72,387.28,12.72,,,5562,""
13N14W11B002M,03-24-2004 00:00,403,400,18.7,384.3,15.7,,,5050,""
13N14W11B002M,04-06-2004 14:10,403,400,17.4,385.6,14.4,,,5562,""
