Supplier_Name,PWSID,Stage_Invoked,Mandatory_Restrictions,Reporting_Month,Production_Reported,2013_Production_Reported,CII_Reported,Agriculture_Reported,2013_Agriculture_Reported,Recycled_Reported,Units,Qualification,Population_Served,R_GPCD_Reported,Enforcement_Actions,Implementation,Conservation_Standard,Ag_Cert,Production_Calculated,2013_Production_Calculated,CII_Calculated,R_GPCD_Calculated,Percent_Residential_Use,Comments_Corrections,Hydrologic_Region,Watering_Days_Per_Week,Complaints,Follow_Ups,Warnings,Penalties_Rate,Penalties_Other,Enforcement_Comments
Arcata  City of,CA1210001,0,No,2/15/2019,43.117,49.66,12.053,NA,NA,NA,MG,NA,19058,42,NA,NA,NULL,No,43117000,49660000,12053000,43.63218296,54,No Correction,North Coast,7,0,5,0,0,0,NA
Arcata  City of,CA1210001,0,No,1/15/2019,44.436,48.182,12.495,NA,NA,NA,MG,NA,19058,41,0,NA,NULL,No,44436000,48182000,12495000,41.36743862,55,No Correction,North Coast,7,0,9,0,0,0,0
Arcata  City of,CA1210001,0,No,12/15/2018,45.131,53.46,11.261,NA,NA,NA,MG,NA,19058,41,NA,NA,NULL,No,45131000,53460000,11261000,41.25054587,54,No Correction,North Coast,7,0,4,0,0,0,NA
Arcata  City of,CA1210001,0,No,11/15/2018,49.002,47.554,13.572,NA,NA,NA,MG,NA,19058,43,NA,NA,NULL,No,49002000,47554000,13572000,43.7104628,51,No Correction,North Coast,7,0,4,0,0,0,NA
Arcata  City of,CA1210001,0,No,10/15/2018,57.865,59.138,15.308,NA,NA,NA,MG,NA,19058,46,NA,NA,NULL,No,57865000,59138000,15308000,46.03358508,47,No Correction,North Coast,7,0,8,0,0,0,NA
Arcata  City of,CA1210001,0,No,9/15/2018,55.762,65.563,18.155,NA,NA,NA,MG,NA,19058,52,NA,NA,NULL,No,55762000,65563000,18155000,52.66638682,54,No Correction,North Coast,7,0,10,0,0,0,NA
Arcata  City of,CA1210001,0,No,8/15/2018,62.473,61.75,16.821,NA,NA,NA,MG,NA,19058,49,NA,NA,NULL,No,62473000,61750000,16821000,47.5845382,45,No Correction,North Coast,7,0,9,0,0,0,NA
Arcata  City of,CA1210001,0,No,7/15/2018,62.634,64.423,14.947,NA,NA,NA,MG,NA,19058,47,NA,NA,NULL,No,62634000,64423000,14947000,47.70716895,45,No Correction,North Coast,7,0,7,0,0,0,NA
Arcata  City of,CA1210001,0,No,6/15/2018,50.782,52.614,12.442,NA,NA,NA,MG,NA,19058,43,NA,NA,NULL,No,50782000,52614000,12442000,42.63364466,48,No Correction,North Coast,7,0,6,0,0,0,NA
Arcata  City of,CA1210001,0,No,5/15/2018,50.824,58.941,12.442,NA,NA,NA,MG,NA,19058,41,NA,NA,NULL,No,50824000,58941000,12442000,41.29248914,48,No Correction,North Coast,7,0,6,0,0,0,NA
