buff_dist,buff_range,buff_range_center,time_days,pump_factor,SegNum,IP_class,depletion_m3d_HighValue
100,0-100 m,50,258,0.5,73,High,0.0503567691592397
100,0-100 m,50,258,0.5,78,High,0.285617159010057
100,0-100 m,50,258,0.5,79,High,0.46050678539839
100,0-100 m,50,258,0.5,80,High,0.46709440993903
100,0-100 m,50,258,0.5,81,High,0.438253900585422
100,0-100 m,50,258,0.5,82,High,0.129907409719406
100,0-100 m,50,258,0.5,91,High,0.181542438327375
100,0-100 m,50,258,0.5,92,High,0.228249773812092
100,0-100 m,50,258,0.5,94,High,0.141080708397598
100,0-100 m,50,258,0.5,95,High,0.209489987495973
100,0-100 m,50,258,0.5,107,High,0.311101632101359
100,0-100 m,50,258,0.5,108,High,0.14850155683187
100,0-100 m,50,258,0.5,116,High,0.0538125772044105
100,0-100 m,50,258,0.5,117,High,0.0254653766857952
100,0-100 m,50,258,0.5,119,High,0.0767103596824222
100,0-100 m,50,258,0.5,120,High,0.180837694508493
100,0-100 m,50,258,0.5,121,High,0.312646777828671
100,0-100 m,50,258,0.5,123,High,0.483666167021165
100,0-100 m,50,258,0.5,124,High,0.301263134433859
100,0-100 m,50,258,0.5,129,High,0.0459568744807799
100,0-100 m,50,258,0.5,130,High,0.0311322419076526
100,0-100 m,50,258,0.5,131,High,0.11997605993309
100,0-100 m,50,258,0.5,172,High,0.21330939162713
100,0-100 m,50,258,0.5,173,High,0.152035083944863
100,0-100 m,50,258,0.5,174,High,0.39698581795542
100,0-100 m,50,258,0.5,175,High,0.565601209635836
100,0-100 m,50,258,0.5,176,High,0.662780472669734
100,0-100 m,50,258,0.5,179,High,0.137456787188824
100,0-100 m,50,258,0.5,180,High,0.334945984246596
100,0-100 m,50,258,0.5,181,High,0.128798354225955
100,0-100 m,50,258,0.5,182,High,0.0906918254051101
100,0-100 m,50,258,0.5,183,High,0.0346613471982252
100,0-100 m,50,258,0.5,214,High,0.080026948699057
100,0-100 m,50,258,0.5,215,High,0.018362838163437
100,0-100 m,50,258,0.5,216,High,0.0195571152361635
100,0-100 m,50,258,0.5,217,High,0.217230513457744
100,0-100 m,50,258,0.5,219,High,0.108988875941053
100,0-100 m,50,258,0.5,230,High,0.335628349733287
100,0-100 m,50,258,0.5,231,High,0.377361052624547
100,0-100 m,50,258,0.5,232,High,0.339922206983043
100,0-100 m,50,258,0.5,233,High,0.295428140334135
100,0-100 m,50,258,0.5,234,High,0.363275643040392
100,0-100 m,50,258,0.5,236,High,0.355097197540551
100,0-100 m,50,258,0.5,237,High,0.432321804232926
100,0-100 m,50,258,0.5,238,High,0.435089896506831
100,0-100 m,50,258,0.5,239,High,0.211432814288434
100,0-100 m,50,258,0.5,250,High,0.38340960647951
100,0-100 m,50,258,0.5,266,High,0.49141928308858
100,0-100 m,50,258,0.5,268,High,0.498332315859975
100,0-100 m,50,258,0.5,270,High,0.0941223521383431
100,0-100 m,50,258,0.5,271,High,0.00436522363130299
100,0-100 m,50,258,0.5,272,High,0.0112073347939674
100,0-100 m,50,258,0.5,273,High,0.0359107718854599
100,0-100 m,50,258,0.5,276,High,0.162650703004115
100,0-100 m,50,258,0.5,277,High,0.224097570279491
100,0-100 m,50,258,0.5,278,High,0.0785062959724664
100,0-100 m,50,258,0.5,279,High,0.289887377681198
100,0-100 m,50,258,0.5,280,High,0.523341100201988
100,0-100 m,50,258,0.5,281,High,0.312374619832434
100,0-100 m,50,258,0.5,282,High,0.11017029023022
100,0-100 m,50,258,0.5,287,High,0.326529123280987
100,0-100 m,50,258,0.5,290,High,0.185197945858303
100,0-100 m,50,258,0.5,292,High,0.217052115528055
100,0-100 m,50,258,0.5,293,High,0.216823029864539
100,0-100 m,50,258,0.5,294,High,0.143103133438651
100,0-100 m,50,258,0.5,297,High,0.26151501726165
100,0-100 m,50,258,0.5,298,High,0.103650470984826
100,0-100 m,50,258,0.5,299,High,0.430007861606859
100,0-100 m,50,3543,0.5,73,High,0.154027796990008
100,0-100 m,50,3543,0.5,78,High,0.331483278417841
100,0-100 m,50,3543,0.5,79,High,0.499667387463545
100,0-100 m,50,3543,0.5,80,High,0.512988859452613
100,0-100 m,50,3543,0.5,81,High,0.482711176226137
100,0-100 m,50,3543,0.5,82,High,0.231307869463607
100,0-100 m,50,3543,0.5,91,High,0.240223384322709
100,0-100 m,50,3543,0.5,92,High,0.328458199033951
100,0-100 m,50,3543,0.5,94,High,0.258791471384845
100,0-100 m,50,3543,0.5,95,High,0.344580183392488
100,0-100 m,50,3543,0.5,107,High,0.389719535487422
100,0-100 m,50,3543,0.5,108,High,0.262966698537879
100,0-100 m,50,3543,0.5,116,High,0.144781144763865
100,0-100 m,50,3543,0.5,117,High,0.130703745971324
100,0-100 m,50,3543,0.5,119,High,0.190769664862314
100,0-100 m,50,3543,0.5,120,High,0.293124673987396
100,0-100 m,50,3543,0.5,121,High,0.399375036105896
100,0-100 m,50,3543,0.5,123,High,0.559240458861394
100,0-100 m,50,3543,0.5,124,High,0.397316469637846
100,0-100 m,50,3543,0.5,129,High,0.184960995537512
100,0-100 m,50,3543,0.5,130,High,0.243895385762792
100,0-100 m,50,3543,0.5,131,High,0.288759907662025
100,0-100 m,50,3543,0.5,172,High,0.342340006262595
100,0-100 m,50,3543,0.5,173,High,0.313878562167557
100,0-100 m,50,3543,0.5,174,High,0.507764028489706
100,0-100 m,50,3543,0.5,175,High,0.635802808700087
100,0-100 m,50,3543,0.5,176,High,0.699256653431117
100,0-100 m,50,3543,0.5,179,High,0.21385662148024
100,0-100 m,50,3543,0.5,180,High,0.408514622202757
100,0-100 m,50,3543,0.5,181,High,0.268531123431259
100,0-100 m,50,3543,0.5,182,High,0.254811260353715
100,0-100 m,50,3543,0.5,183,High,0.155705438968608
100,0-100 m,50,3543,0.5,214,High,0.169203362299472
100,0-100 m,50,3543,0.5,215,High,0.0465970883538564
100,0-100 m,50,3543,0.5,216,High,0.146796870517348
100,0-100 m,50,3543,0.5,217,High,0.321698110665847
100,0-100 m,50,3543,0.5,219,High,0.211542058571946
100,0-100 m,50,3543,0.5,230,High,0.41125797803168
100,0-100 m,50,3543,0.5,231,High,0.470346455383458
100,0-100 m,50,3543,0.5,232,High,0.433936896814268
100,0-100 m,50,3543,0.5,233,High,0.409608718982649
100,0-100 m,50,3543,0.5,234,High,0.459833250028911
100,0-100 m,50,3543,0.5,236,High,0.448463872666162
100,0-100 m,50,3543,0.5,237,High,0.514207337636351
100,0-100 m,50,3543,0.5,238,High,0.516815332880201
100,0-100 m,50,3543,0.5,239,High,0.278564856035164
100,0-100 m,50,3543,0.5,250,High,0.465211230162835
100,0-100 m,50,3543,0.5,266,High,0.532742290710663
100,0-100 m,50,3543,0.5,268,High,0.53419821686057
100,0-100 m,50,3543,0.5,270,High,0.129532425828374
100,0-100 m,50,3543,0.5,271,High,0.0952213179532674
100,0-100 m,50,3543,0.5,272,High,0.127588675823264
100,0-100 m,50,3543,0.5,273,High,0.0913214892171454
100,0-100 m,50,3543,0.5,276,High,0.328405188538492
100,0-100 m,50,3543,0.5,277,High,0.36984239874851
100,0-100 m,50,3543,0.5,278,High,0.250399821137448
100,0-100 m,50,3543,0.5,279,High,0.430040072540761
100,0-100 m,50,3543,0.5,280,High,0.601848070371525
100,0-100 m,50,3543,0.5,281,High,0.423291337514181
100,0-100 m,50,3543,0.5,282,High,0.19888378265649
100,0-100 m,50,3543,0.5,287,High,0.428741003049195
100,0-100 m,50,3543,0.5,290,High,0.269678393437832
100,0-100 m,50,3543,0.5,292,High,0.315382061128058
100,0-100 m,50,3543,0.5,293,High,0.33320816475743
100,0-100 m,50,3543,0.5,294,High,0.247172293406392
