buff_dist,buff_range,buff_range_center,time_days,SegNum,IP_class,depletion_m3d_HighValue
100,0-100 m,50,258,73,High,0.100713494987185
100,0-100 m,50,258,78,High,0.571234249590974
100,0-100 m,50,258,79,High,0.921013449835735
100,0-100 m,50,258,80,High,0.934188682768994
100,0-100 m,50,258,81,High,0.876507750378566
100,0-100 m,50,258,82,High,0.259814809089866
100,0-100 m,50,258,91,High,0.363084873700494
100,0-100 m,50,258,92,High,0.45649950444313
100,0-100 m,50,258,94,High,0.28216137324386
100,0-100 m,50,258,95,High,0.418979971741859
100,0-100 m,50,258,107,High,0.622203344331063
100,0-100 m,50,258,108,High,0.297003137816322
100,0-100 m,50,258,116,High,0.107625127482202
100,0-100 m,50,258,117,High,0.0509307078017631
100,0-100 m,50,258,119,High,0.153420638605326
100,0-100 m,50,258,120,High,0.361675352276938
100,0-100 m,50,258,121,High,0.625293533048223
100,0-100 m,50,258,123,High,0.967332364372372
100,0-100 m,50,258,124,High,0.602526313375281
100,0-100 m,50,258,129,High,0.0919138123944967
100,0-100 m,50,258,130,High,0.0622645904127275
100,0-100 m,50,258,131,High,0.239952086972475
100,0-100 m,50,258,172,High,0.426618717627554
100,0-100 m,50,258,173,High,0.304069986785604
100,0-100 m,50,258,174,High,0.793971467137
100,0-100 m,50,258,175,High,1.13120228038925
100,0-100 m,50,258,176,High,1.32556084924726
100,0-100 m,50,258,179,High,0.27491352584976
100,0-100 m,50,258,180,High,0.669891891592568
100,0-100 m,50,258,181,High,0.257596595442584
100,0-100 m,50,258,182,High,0.181383653778199
100,0-100 m,50,258,183,High,0.0693227586878133
100,0-100 m,50,258,214,High,0.160053932878151
100,0-100 m,50,258,215,High,0.0367256438717421
100,0-100 m,50,258,216,High,0.039114153377191
100,0-100 m,50,258,217,High,0.434461051016753
100,0-100 m,50,258,219,High,0.217977708969403
100,0-100 m,50,258,230,High,0.671256693848948
100,0-100 m,50,258,231,High,0.754722145825946
100,0-100 m,50,258,232,High,0.679844477616636
100,0-100 m,50,258,233,High,0.590856392219485
100,0-100 m,50,258,234,High,0.726551413585784
