STORAGE_IN,CONSTANT_HEAD_IN,RECHARGE_IN,STREAM_LEAKAGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RECHARGE_OUT,STREAM_LEAKAGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,WellNum
0.0,308.4638977050781,914428.75,309.5079040527344,1418.454833984375,916465.125,0.0,49109.91015625,0.0,865947.9375,1409.0736083984375,916466.9375,-1.8125,-0.0,0
0.0,308.6247863769531,914428.75,309.5079040527344,1417.059814453125,916463.9375,0.0,49109.48046875,0.0,865946.25,1409.9505615234375,916465.6875,-1.75,-0.0,1
0.0,308.46490478515625,914428.75,309.5083923339844,1418.4061279296875,916465.0625,0.0,49109.84375,0.0,865945.375,1411.58642578125,916466.8125,-1.75,-0.0,10
0.0,308.4638977050781,914428.75,309.5044860839844,1417.8297119140625,916464.5,0.0,49109.9140625,0.0,865946.125,1410.368408203125,916466.4375,-1.9375,-0.0,100
0.0,308.4638977050781,914428.75,309.50640869140625,1417.327880859375,916464.0,0.0,49109.91015625,0.0,865945.6875,1410.171875,916465.8125,-1.8125,-0.0,101
0.0,308.4638977050781,914428.75,309.5075988769531,1417.614990234375,916464.3125,0.0,49109.91015625,0.0,865945.625,1410.5130615234375,916466.0625,-1.75,-0.0,102
0.0,308.4638977050781,914428.75,309.5078125,1418.4417724609375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3592529296875,916466.9375,-1.8125,-0.0,103
0.0,308.4638977050781,914428.75,309.5082092285156,1418.4754638671875,916465.1875,0.0,49109.91015625,0.0,865945.9375,1411.17138671875,916467.0625,-1.875,-0.0,104
0.0,308.4638977050781,914428.75,309.5083923339844,1418.4970703125,916465.1875,0.0,49109.90234375,0.0,865946.0625,1411.0928955078125,916467.0,-1.8125,-0.0,105
0.0,308.4639892578125,914428.75,309.50830078125,1418.4459228515625,916465.125,0.0,49109.87890625,0.0,865945.625,1411.3603515625,916466.875,-1.75,-0.0,106
0.0,308.4639892578125,914428.75,309.5085144042969,1418.4447021484375,916465.125,0.0,49109.84765625,0.0,865945.6875,1411.3603515625,916466.9375,-1.8125,-0.0,107
0.0,308.4638977050781,914428.75,309.5072937011719,1418.442138671875,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.3297119140625,916466.9375,-1.8125,-0.0,108
0.0,308.4638977050781,914428.75,309.5067138671875,1418.4320068359375,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.3812255859375,916466.875,-1.75,-0.0,109
0.0,308.4642028808594,914428.75,309.5080871582031,1417.6490478515625,916464.3125,0.0,49109.8671875,0.0,865945.3125,1410.8353271484375,916466.0,-1.6875,-0.0,11
0.0,308.4638977050781,914428.75,309.50628662109375,1418.4373779296875,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3486328125,916466.9375,-1.8125,-0.0,110
0.0,308.4638977050781,914428.75,309.506103515625,1418.4361572265625,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3583984375,916466.9375,-1.8125,-0.0,111
0.0,308.4638977050781,914428.75,309.5068054199219,1418.4022216796875,916465.0625,0.0,49109.91015625,0.0,865945.25,1411.587890625,916466.75,-1.6875,-0.0,112
0.0,308.4638977050781,914428.75,309.5076904296875,1417.2296142578125,916463.9375,0.0,49109.91015625,0.0,865945.625,1410.123779296875,916465.6875,-1.75,-0.0,113
0.0,308.4638977050781,914428.75,309.5079040527344,1418.1796875,916464.875,0.0,49109.91015625,0.0,865945.5625,1411.120361328125,916466.625,-1.75,-0.0,114
0.0,308.4638977050781,914428.75,309.5080871582031,1418.407958984375,916465.125,0.0,49109.91015625,0.0,865945.3125,1411.559814453125,916466.8125,-1.6875,-0.0,115
0.0,308.4638977050781,914428.75,309.5080871582031,1418.103271484375,916464.8125,0.0,49109.90625,0.0,865945.5625,1411.078857421875,916466.5625,-1.75,-0.0,116
0.0,308.4638977050781,914428.75,309.5083923339844,1418.4853515625,916465.1875,0.0,49109.91015625,0.0,865946.0,1411.1165771484375,916467.0625,-1.875,-0.0,117
0.0,308.4638977050781,914428.75,309.5087890625,1418.5579833984375,916465.25,0.0,49109.90625,0.0,865946.5,1410.806396484375,916467.1875,-1.9375,-0.0,118
0.0,308.4639892578125,914428.75,309.5078125,1418.443115234375,916465.125,0.0,49109.8671875,0.0,865945.625,1411.3544921875,916466.875,-1.75,-0.0,119
0.0,308.4645080566406,914428.75,309.50830078125,1418.448974609375,916465.125,0.0,49109.65625,0.0,865945.875,1411.357666015625,916466.875,-1.75,-0.0,12
0.0,308.4639892578125,914428.75,309.50750732421875,1418.458251953125,916465.125,0.0,49109.83984375,0.0,865945.8125,1411.2713623046875,916466.875,-1.75,-0.0,120
0.0,308.4638977050781,914428.75,309.5093078613281,1418.443115234375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3585205078125,916466.9375,-1.8125,-0.0,121
0.0,308.4638977050781,914428.75,309.5097961425781,1418.4404296875,916465.125,0.0,49109.91015625,0.0,865945.625,1411.355712890625,916466.9375,-1.8125,-0.0,122
0.0,308.4638977050781,914428.75,309.51031494140625,1418.4378662109375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3450927734375,916466.9375,-1.8125,-0.0,123
0.0,308.4638977050781,914428.75,309.5108947753906,1418.4566650390625,916465.125,0.0,49109.91015625,0.0,865945.8125,1411.2452392578125,916467.0,-1.875,-0.0,124
0.0,308.4638977050781,914428.75,309.5111083984375,1418.4332275390625,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.37548828125,916466.875,-1.75,-0.0,125
0.0,308.4638977050781,914428.75,309.5111999511719,1418.4383544921875,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.36865234375,916466.875,-1.75,-0.0,126
0.0,308.4638977050781,914428.75,309.5119934082031,1418.4473876953125,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.3048095703125,916466.9375,-1.8125,-0.0,127
0.0,308.4638977050781,914428.75,309.51031494140625,1417.01513671875,916463.6875,0.0,49109.91015625,0.0,865945.25,1410.2330322265625,916465.4375,-1.75,-0.0,128
0.0,308.4638977050781,914428.75,309.5093078613281,1418.144287109375,916464.8125,0.0,49109.91015625,0.0,865945.6875,1411.0279541015625,916466.625,-1.8125,-0.0,129
0.0,308.4648132324219,914428.75,309.5085144042969,1418.451171875,916465.125,0.0,49109.48828125,0.0,865946.0625,1411.3497314453125,916466.9375,-1.8125,-0.0,13
0.0,308.4638977050781,914428.75,309.50909423828125,1418.4583740234375,916465.125,0.0,49109.9140625,0.0,865945.8125,1411.227783203125,916467.0,-1.875,-0.0,130
0.0,308.4638977050781,914428.75,309.5086975097656,1418.461669921875,916465.125,0.0,49109.91015625,0.0,865945.8125,1411.2149658203125,916466.9375,-1.8125,-0.0,131
0.0,308.4638977050781,914428.75,309.5083923339844,1418.43115234375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.341552734375,916466.875,-1.75,-0.0,132
0.0,308.4638977050781,914428.75,309.5082092285156,1416.3909912109375,916463.0625,0.0,49109.91015625,0.0,865945.5625,1409.3543701171875,916464.875,-1.8125,-0.0,133
0.0,308.4638977050781,914428.75,309.5080871582031,1417.4307861328125,916464.125,0.0,49109.91015625,0.0,865945.25,1410.655517578125,916465.8125,-1.6875,-0.0,134
0.0,308.4638977050781,914428.75,309.5078125,1417.37841796875,916464.0625,0.0,49109.90234375,0.0,865945.25,1410.56396484375,916465.6875,-1.625,-0.0,135
0.0,308.4639892578125,914428.75,309.50750732421875,1418.43701171875,916465.125,0.0,49109.8828125,0.0,865945.625,1411.359375,916466.875,-1.75,-0.0,136
0.0,308.4639892578125,914428.75,309.5067138671875,1417.295654296875,916464.0,0.0,49109.859375,0.0,865945.625,1410.22216796875,916465.75,-1.75,-0.0,137
0.0,308.4639892578125,914428.75,309.5054931640625,1418.4541015625,916465.125,0.0,49109.83984375,0.0,865945.8125,1411.2772216796875,916466.875,-1.75,-0.0,138
0.0,308.4638977050781,914428.75,309.51019287109375,1418.4425048828125,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3619384765625,916466.9375,-1.8125,-0.0,139
0.0,308.465087890625,914428.75,309.5086975097656,1418.44873046875,916465.125,0.0,49109.39453125,0.0,865946.125,1411.3740234375,916466.875,-1.75,-0.0,14
0.0,308.4638977050781,914428.75,309.51141357421875,1418.439697265625,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3482666015625,916466.9375,-1.8125,-0.0,140
0.0,308.4638977050781,914428.75,309.5130920410156,1417.5228271484375,916464.1875,0.0,49109.91015625,0.0,865945.75,1410.35693359375,916466.0625,-1.875,-0.0,141
0.0,308.4638977050781,914428.75,309.514404296875,1418.4361572265625,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.3243408203125,916466.9375,-1.8125,-0.0,142
0.0,308.4638977050781,914428.75,309.5165100097656,1417.775634765625,916464.4375,0.0,49109.91015625,0.0,865945.3125,1410.94970703125,916466.1875,-1.75,-0.0,143
0.0,308.4638977050781,914428.75,309.5201110839844,1418.435546875,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3603515625,916466.9375,-1.8125,-0.0,144
0.0,308.4638977050781,914428.75,309.5163879394531,1418.4306640625,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.365478515625,916466.875,-1.75,-0.0,145
0.0,308.4638977050781,914428.75,309.5138854980469,1418.5885009765625,916465.25,0.0,49109.9140625,0.0,865946.8125,1410.6187744140625,916467.375,-2.125,-0.0,146
0.0,308.4638977050781,914428.75,309.51031494140625,1418.429443359375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.334716796875,916466.875,-1.75,-0.0,147
0.0,308.4638977050781,914428.75,309.5090026855469,1418.4315185546875,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.379150390625,916466.875,-1.75,-0.0,148
0.0,308.4638977050781,914428.75,309.5086975097656,1418.4263916015625,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.3643798828125,916466.875,-1.75,-0.0,149
0.0,308.464599609375,914428.75,309.5086975097656,1418.458740234375,916465.125,0.0,49109.86328125,0.0,865945.8125,1411.2623291015625,916466.9375,-1.8125,-0.0,15
0.0,308.4638977050781,914428.75,309.5086975097656,1417.5926513671875,916464.25,0.0,49109.91015625,0.0,865945.8125,1410.36474609375,916466.125,-1.875,-0.0,150
0.0,308.4638977050781,914428.75,309.5087890625,1417.2503662109375,916463.9375,0.0,49109.9140625,0.0,865946.3125,1409.6602783203125,916465.9375,-2.0,-0.0,151
0.0,308.4638977050781,914428.75,309.50799560546875,1417.099609375,916463.8125,0.0,49109.91015625,0.0,865945.5625,1410.0389404296875,916465.5625,-1.75,-0.0,152
0.0,308.4638977050781,914428.75,309.5079040527344,1417.7984619140625,916464.5,0.0,49109.90625,0.0,865945.625,1410.703369140625,916466.1875,-1.6875,-0.0,153
0.0,308.4638977050781,914428.75,309.5075988769531,1418.4464111328125,916465.125,0.0,49109.90234375,0.0,865945.625,1411.35693359375,916466.875,-1.75,-0.0,154
0.0,308.4639892578125,914428.75,309.50628662109375,1418.4420166015625,916465.125,0.0,49109.87890625,0.0,865945.625,1411.3636474609375,916466.875,-1.75,-0.0,155
0.0,308.4639892578125,914428.75,309.5044860839844,1418.4385986328125,916465.125,0.0,49109.85546875,0.0,865945.625,1411.3739013671875,916466.875,-1.75,-0.0,156
0.0,308.4638977050781,914428.75,309.5126037597656,1418.439697265625,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3623046875,916466.9375,-1.8125,-0.0,157
0.0,308.4638977050781,914428.75,309.5154113769531,1417.530029296875,916464.1875,0.0,49109.91015625,0.0,865945.5625,1410.500244140625,916466.0,-1.8125,-0.0,158
0.0,308.4638977050781,914428.75,309.5202941894531,1417.8353271484375,916464.5,0.0,49109.9140625,0.0,865945.6875,1410.6856689453125,916466.3125,-1.8125,-0.0,159
0.0,308.4642028808594,914428.75,309.5090026855469,1418.5115966796875,916465.1875,0.0,49109.87109375,0.0,865946.1875,1411.0146484375,916467.0625,-1.875,-0.0,16
0.0,308.4638977050781,914428.75,309.52960205078125,1418.4368896484375,916465.125,0.0,49109.9140625,0.0,865945.8125,1411.23583984375,916467.0,-1.875,-0.0,160
0.0,308.4638977050781,914428.75,309.531494140625,1418.43408203125,916465.1875,0.0,49109.91015625,0.0,865945.625,1411.340087890625,916466.875,-1.6875,-0.0,161
0.0,308.4638977050781,914428.75,309.5215148925781,1418.446044921875,916465.125,0.0,49109.9140625,0.0,865945.75,1411.25244140625,916466.9375,-1.8125,-0.0,162
0.0,308.4638977050781,914428.75,309.51580810546875,1418.455322265625,916465.125,0.0,49109.9140625,0.0,865945.875,1411.1866455078125,916467.0,-1.875,-0.0,163
0.0,308.4638977050781,914428.75,309.510986328125,1416.4947509765625,916463.1875,0.0,49109.91015625,0.0,865945.3125,1409.6844482421875,916464.9375,-1.75,-0.0,164
0.0,308.4638977050781,914428.75,309.5094909667969,1418.4365234375,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.3096923828125,916466.9375,-1.8125,-0.0,165
0.0,308.4638977050781,914428.75,309.5090026855469,1418.428466796875,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3292236328125,916466.875,-1.75,-0.0,166
0.0,308.4638977050781,914428.75,309.50860595703125,1418.3843994140625,916465.0625,0.0,49109.91015625,0.0,865945.25,1411.5943603515625,916466.8125,-1.75,-0.0,167
0.0,308.4638977050781,914428.75,309.5083923339844,1417.501953125,916464.1875,0.0,49109.91015625,0.0,865945.6875,1410.3692626953125,916466.0,-1.8125,-0.0,168
0.0,308.4638977050781,914428.75,309.50799560546875,1417.2215576171875,916463.9375,0.0,49109.91015625,0.0,865945.625,1410.1376953125,916465.6875,-1.75,-0.0,169
0.0,308.4642028808594,914428.75,309.5085144042969,1418.4705810546875,916465.1875,0.0,49109.796875,0.0,865945.9375,1411.230712890625,916467.0,-1.8125,-0.0,17
0.0,308.4638977050781,914428.75,309.5078125,1418.4390869140625,916465.125,0.0,49109.90625,0.0,865945.625,1411.35546875,916466.875,-1.75,-0.0,170
0.0,308.4638977050781,914428.75,309.50628662109375,1418.44140625,916465.125,0.0,49109.890625,0.0,865945.625,1411.3570556640625,916466.875,-1.75,-0.0,171
0.0,308.4639892578125,914428.75,309.5043029785156,1418.4658203125,916465.125,0.0,49109.875,0.0,865945.875,1411.2169189453125,916466.9375,-1.8125,-0.0,172
0.0,308.4638977050781,914428.75,309.5163879394531,1418.416748046875,916465.125,0.0,49109.91015625,0.0,865945.5625,1411.3504638671875,916466.875,-1.75,-0.0,173
0.0,308.4638977050781,914428.75,309.5226135253906,1417.986572265625,916464.6875,0.0,49109.91015625,0.0,865945.5,1410.9810791015625,916466.4375,-1.75,-0.0,174
0.0,308.4638977050781,914428.75,309.5332946777344,1418.4139404296875,916465.1875,0.0,49109.91015625,0.0,865945.625,1411.3590087890625,916466.9375,-1.75,-0.0,175
0.0,308.4638977050781,914428.75,309.55560302734375,1418.4571533203125,916465.1875,0.0,49109.9140625,0.0,865945.875,1411.2352294921875,916467.0625,-1.875,-0.0,176
0.0,308.4638977050781,914428.75,309.53369140625,1418.39208984375,916465.125,0.0,49109.91015625,0.0,865945.25,1411.607177734375,916466.8125,-1.6875,-0.0,177
0.0,308.4638977050781,914428.75,309.522705078125,1417.5816650390625,916464.25,0.0,49109.91015625,0.0,865945.5625,1410.565185546875,916466.0625,-1.8125,-0.0,178
0.0,308.4638977050781,914428.75,309.5163879394531,1418.4249267578125,916465.125,0.0,49109.91015625,0.0,865945.625,1411.349609375,916466.9375,-1.8125,-0.0,179
0.0,308.464599609375,914428.75,309.5085144042969,1418.444580078125,916465.125,0.0,49109.6484375,0.0,865945.875,1411.3782958984375,916466.875,-1.75,-0.0,18
0.0,308.4638977050781,914428.75,309.5122985839844,1418.433837890625,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.290771484375,916466.9375,-1.8125,-0.0,180
0.0,308.4638977050781,914428.75,309.51031494140625,1418.509033203125,916465.1875,0.0,49109.9140625,0.0,865946.25,1410.956787109375,916467.125,-1.9375,-0.0,181
0.0,308.4638977050781,914428.75,309.5091857910156,1418.4288330078125,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.3199462890625,916466.9375,-1.8125,-0.0,182
0.0,308.4638977050781,914428.75,309.5086975097656,1418.4224853515625,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3421630859375,916466.875,-1.75,-0.0,183
0.0,308.4638977050781,914428.75,309.50830078125,1417.032958984375,916463.75,0.0,49109.91015625,0.0,865945.5625,1409.987548828125,916465.5,-1.75,-0.0,184
0.0,308.4638977050781,914428.75,309.5085144042969,1417.5618896484375,916464.25,0.0,49109.9140625,0.0,865946.125,1410.1195068359375,916466.1875,-1.9375,-0.0,185
0.0,308.4638977050781,914428.75,309.5079040527344,1417.3619384765625,916464.0625,0.0,49109.91015625,0.0,865945.25,1410.5443115234375,916465.75,-1.6875,-0.0,186
0.0,308.4638977050781,914428.75,309.5086975097656,1417.6842041015625,916464.375,0.0,49109.9140625,0.0,865946.875,1409.6798095703125,916466.5,-2.125,-0.0,187
0.0,308.4638977050781,914428.75,309.5069885253906,1417.9658203125,916464.625,0.0,49109.90625,0.0,865945.375,1411.068603515625,916466.3125,-1.6875,-0.0,188
