STORAGE_IN,CONSTANT_HEAD_IN,RECHARGE_IN,STREAM_LEAKAGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RECHARGE_OUT,STREAM_LEAKAGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,datetime,leakage
0.0,264.7524,914428.75,192053.98,2001.6445,1108749.1,0.0,55704.477,0.0,1051059.1,1988.3624,1108752.0,-2.875,-0.0,1971-01-01 00:00:00.000000,-859005.1
1948.2332,235.561,2210374.5,175698.58,1574.1494,2389831.0,1226160.2,58860.23,0.0,1103259.9,1563.7036,2389844.2,-13.25,-0.0,1971-02-01 00:00:00.000000,-927561.3
6838.115,221.0204,2210374.5,159222.39,1587.9812,2378244.2,1195920.4,60612.086,0.0,1120144.5,1578.0322,2378255.0,-10.75,-0.0,1971-03-01 00:00:00.000000,-960922.1
15471.3,209.7446,2210374.5,133118.56,1596.2054,2360770.2,1161717.0,62088.133,0.0,1135390.1,1585.6542,2360781.0,-10.75,-0.0,1971-04-01 00:00:00.000000,-1002271.56
48499.33,203.0323,2210374.5,61089.695,1578.4944,2321745.0,1108201.4,63165.836,0.0,1148818.2,1568.7554,2321754.2,-9.25,-0.0,1971-05-01 00:00:00.000000,-1087728.5
1126223.9,258.4431,0.0,15273.35,1586.94,1143342.8,0.0,58646.715,0.0,1083117.8,1582.5847,1143347.1,-4.375,-0.0,1971-06-01 00:00:00.000000,-1067844.4
1111187.4,284.6609,0.0,5600.2554,1573.3387,1118645.6,0.0,56237.5,0.0,1060843.4,1569.0249,1118649.9,-4.25,-0.0,1971-07-01 00:00:00.000000,-1055243.1
1095875.5,303.4888,0.0,2808.9119,1566.3475,1100554.2,0.0,54453.617,0.0,1044544.56,1555.0518,1100553.1,1.125,0.0,1971-08-01 00:00:00.000000,-1041735.6
1082004.1,319.1665,0.0,1902.0967,1549.3711,1085774.8,0.0,53066.234,0.0,1031167.9,1544.9232,1085779.0,-4.25,-0.0,1971-09-01 00:00:00.000000,-1029265.75
1069679.9,331.129,0.0,1807.0162,1535.082,1073353.1,0.0,51957.004,0.0,1019869.56,1530.7898,1073357.4,-4.25,-0.0,1971-10-01 00:00:00.000000,-1018062.56
1053771.6,341.6875,0.0,6226.9155,1521.3467,1061861.6,19.954,50981.324,0.0,1009347.1,1516.9985,1061865.4,-3.75,-0.0,1971-11-01 00:00:00.000000,-1003120.2
1011360.06,350.7092,0.0,40993.46,1517.7129,1054222.0,2642.1458,50196.0,0.0,999876.75,1506.5985,1054221.5,0.5,0.0,1971-12-01 00:00:00.000000,-958883.3
70.4276,279.4399,2210374.5,155117.53,1501.6477,2367343.5,1246994.1,55001.027,0.0,1063870.9,1490.8102,2367356.8,-13.25,-0.0,1972-01-01 00:00:00.000000,-908753.4
0.0,246.8791,2210374.5,185503.95,1525.5898,2397651.0,1249632.4,57712.883,0.0,1088802.8,1514.9976,2397663.0,-12.0,-0.0,1972-02-01 00:00:00.000000,-903298.8
196.4453,230.8066,2210374.5,166019.62,1535.0117,2378356.5,1210064.1,59515.13,0.0,1107263.6,1525.1589,2378368.2,-11.75,-0.0,1972-02-29 00:00:00.000000,-941244.0
1510.1643,218.0796,2210374.5,136954.6,1552.4031,2350609.8,1164351.6,61090.76,0.0,1123636.5,1542.029,2350621.0,-11.25,-0.0,1972-03-31 00:00:00.000000,-986681.9
19250.885,209.1798,2210374.5,61717.258,1548.8778,2293100.8,1091437.9,62264.98,0.0,1137870.8,1538.9198,2293112.5,-11.75,-0.0,1972-04-30 00:00:00.000000,-1076153.5
1115788.1,265.0984,0.0,15060.822,1555.0708,1132669.2,0.0,57837.688,0.0,1073285.0,1544.6709,1132667.4,1.875,0.0,1972-05-31 00:00:00.000000,-1058224.1
1101463.5,290.8875,0.0,5380.305,1548.7615,1108683.4,0.086424,55500.746,0.0,1051644.2,1538.3369,1108683.5,-0.125,-0.0,1972-06-30 00:00:00.000000,-1046263.94
1086732.0,310.5153,0.0,2545.8213,1542.4194,1091130.8,0.0,53783.73,0.0,1035837.4,1531.5605,1091152.6,-21.875,-0.0,1972-07-31 00:00:00.000000,-1033291.56
1073301.4,325.5239,0.0,1698.534,1533.0533,1076858.4,0.0,52452.133,0.0,1022882.75,1522.0626,1076857.0,1.375,0.0,1972-08-31 00:00:00.000000,-1021184.2
1061332.8,337.2152,0.0,1648.6262,1507.25,1064825.9,0.0,51388.242,0.0,1011940.44,1496.3599,1064825.0,0.875,0.0,1972-09-30 00:00:00.000000,-1010291.8
1045713.3,347.6249,0.0,6128.7734,1507.7815,1053697.5,22.0984,50454.8,0.0,1001722.75,1496.7042,1053696.4,1.125,0.0,1972-10-31 00:00:00.000000,-995594.0
1003980.1,356.4857,0.0,41154.86,1493.4652,1046984.94,3290.0852,49705.42,0.0,992506.6,1482.4025,1046984.5,0.4375,0.0,1972-11-30 00:00:00.000000,-951351.75
0.0,283.8647,2210374.5,155964.98,1485.5165,2368108.8,1255837.1,54539.18,0.0,1056273.1,1474.6667,2368124.2,-15.5,-0.0,1972-12-31 00:00:00.000000,-900308.1
0.0,250.4093,2210374.5,187712.39,1495.9336,2399833.5,1259814.5,57278.207,0.0,1081264.0,1486.7327,2399843.5,-10.0,-0.0,1973-01-31 00:00:00.000000,-893551.6
106.7223,233.8357,2210374.5,167668.69,1510.893,2379894.8,1219494.9,59101.992,0.0,1099808.6,1501.013,2379906.5,-11.75,-0.0,1973-02-28 00:00:00.000000,-932139.94
1199.6969,220.9238,2210374.5,138200.11,1532.2782,2351527.2,1173011.8,60699.543,0.0,1116306.2,1521.7416,2351539.2,-12.0,-0.0,1973-03-31 00:00:00.000000,-978106.1
16490.627,211.7355,2210374.5,61882.844,1536.1047,2290495.5,1096488.2,61892.258,0.0,1130599.0,1526.151,2290505.8,-10.25,-0.0,1973-04-30 00:00:00.000000,-1068716.1
1108685.2,267.7061,0.0,14958.033,1537.787,1125448.8,0.0,57484.574,0.0,1066435.8,1527.1459,1125447.5,1.25,0.0,1973-05-31 00:00:00.000000,-1051477.8
