"SegNum" "FromNode" "ToNode" "SFR_NSEG" "TotDASqKM" "TerminalFl" "TerminalPa" "SFR_OUTSEG" "DirectDASqKM" "width_m"
316 10006376 10006374 1 0.6948 "0" 10018246 2 0.6948 9.728834651123
315 10006374 10006375 2 1.8378 "0" 10018246 33 1.143 9.75444443256521
319 10006366 10006391 3 4.1337 "0" 10018246 14 4.1337 9.80608969741244
323 10006339 10006341 4 5.0481 "0" 10018246 9 5.0481 9.82673478271314
327 10006297 10006301 5 5.2047 "0" 10018246 13 5.2047 9.83027481353305
326 10006296 10006301 6 6.3918 "0" 10018246 13 6.3918 9.8571513820189
320 10006344 10006345 7 6.7194 "0" 10018246 18 6.7194 9.86458134725581
17 10006361 10006360 8 7.3053 "0" 10018246 15 7.3053 9.8778835219347
322 10006341 10006346 9 10.2141 "0" 10018246 17 5.166 9.94419049083529
178 10006356 10006345 10 10.3284 "0" 10018246 18 10.3284 9.94680506273077
314 10006380 10006377 11 11.3445 "0" 10018246 0 11.3445 9.97007822901783
318 10006362 10006391 12 11.5011 "0" 10018246 14 11.5011 9.9736698985793
325 10006301 10006387 13 11.8917 "0" 10018246 16 0.295200000000001 9.98263407015611
317 10006391 10006364 14 16.1451 "0" 10018246 30 0.510300000000001 10.0807716307607
16 10006360 10006352 15 16.3035 "0" 10018246 19 8.9982 10.0844449265681
324 10006387 10006337 16 19.3725 "0" 10018246 26 7.4808 10.1558798201079
321 10006346 10006348 17 19.6506 "0" 10018246 20 9.4365 10.1623779034803
177 10006345 10006389 18 22.068 "0" 10018246 27 5.0202 10.2190382983699
15 10006352 10006348 19 22.7178 "0" 10018246 20 6.4143 10.2343224784326
14 10006348 10006343 20 44.6391 "0" 10018246 21 2.2707 10.7635562903644
13 10006343 10006331 21 54.0909 "0" 10018246 22 9.4518 11.0001086539793
12 10006331 10006318 22 62.4006 "0" 10018246 23 8.3097 11.2123680632793
11 10006318 10006327 23 72.7254 "0" 10018246 24 10.3248 11.4818152404752
10 10006327 10006328 24 79.4979 "0" 10018246 25 6.77250000000001 11.6620648127259
