"agency","site","datetime","ground_elev_ft","water_elev_ft","wtd_ft","lon","lat","well_depth_ft","well_use","catchment"
"CA-DWR","385921N1228697W001",1958-03-12 00:00:00,92.86,80.56,12.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1958-10-28 00:00:00,92.86,72.46,20.4,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1959-10-10 00:00:00,92.86,72.36,20.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1960-03-03 00:00:00,92.86,79.56,13.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1960-10-07 00:00:00,92.86,71.46,21.4,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1961-03-03 00:00:00,92.86,79.76,13.1,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1961-10-04 00:00:00,92.86,71.16,21.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1962-03-08 00:00:00,92.86,82.36,10.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1962-10-10 00:00:00,92.86,71.06,21.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1963-04-16 00:00:00,92.86,82.16,10.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1963-09-16 00:00:00,92.86,72.46,20.4,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1964-03-17 00:00:00,92.86,78.56,14.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1964-10-13 00:00:00,92.86,69.26,23.6,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1965-04-14 00:00:00,92.86,79.16,13.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1965-09-21 00:00:00,92.86,71.66,21.2,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1966-03-14 00:00:00,92.86,78.36,14.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1966-10-14 00:00:00,92.86,68.36,24.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1967-03-13 00:00:00,92.86,78.56,14.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1967-10-18 00:00:00,92.86,70.76,22.1,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1968-03-15 00:00:00,92.86,77.56,15.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1968-10-16 00:00:00,92.86,68.56,24.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1969-02-12 00:00:00,92.86,81.16,11.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1969-10-15 00:00:00,92.86,66.86,26,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1970-02-16 00:00:00,92.86,76.96,15.9,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1970-10-21 00:00:00,92.86,66.96,25.9,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1971-03-15 00:00:00,92.86,75.96,16.9,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1971-09-10 00:00:00,92.86,67.36,25.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1972-03-29 00:00:00,92.86,74.06,18.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1972-09-26 00:00:00,92.86,65.06,27.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1973-06-01 00:00:00,92.86,72.26,20.6,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1973-09-19 00:00:00,92.86,65.66,27.2,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1974-03-26 00:00:00,92.86,74.36,18.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1974-09-19 00:00:00,92.86,67.66,25.2,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1975-04-18 00:00:00,92.86,73.06,19.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1986-04-30 00:00:00,92.86,70.26,22.6,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1986-10-28 00:00:00,92.86,69.46,23.4,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1987-04-21 00:00:00,92.86,NA,NA,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1987-10-20 00:00:00,92.86,70.86,22,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1988-04-13 00:00:00,92.86,69.36,23.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1988-11-01 00:00:00,92.86,67.96,24.9,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1989-11-30 00:00:00,92.86,NA,NA,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1990-04-11 00:00:00,92.86,NA,NA,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1990-11-15 00:00:00,92.86,71.16,21.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1991-04-29 00:00:00,92.86,71.36,21.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1991-10-29 00:00:00,92.86,69.46,23.4,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1992-04-29 00:00:00,92.86,70.16,22.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1992-10-22 00:00:00,92.86,71.16,21.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1993-05-26 00:00:00,92.86,72.36,20.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1993-11-15 00:00:00,92.86,70.06,22.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1994-04-27 00:00:00,92.86,68.86,24,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1994-10-25 00:00:00,92.86,68.16,24.7,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1995-05-30 00:00:00,92.86,NA,NA,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1995-11-06 00:00:00,92.86,71.26,21.6,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1996-05-21 00:00:00,92.86,70.76,22.1,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1996-12-16 00:00:00,92.86,72.06,20.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1997-04-25 00:00:00,92.86,69.36,23.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1997-10-29 00:00:00,92.86,69.86,23,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1998-04-22 00:00:00,92.86,71.36,21.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1998-11-23 00:00:00,92.86,NA,NA,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1999-04-14 00:00:00,92.86,73.86,19,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",1999-12-06 00:00:00,92.86,70.66,22.2,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2000-04-19 00:00:00,92.86,70.36,22.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2000-11-15 00:00:00,92.86,70.36,22.5,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2001-05-16 00:00:00,92.86,69.06,23.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2001-10-16 00:00:00,92.86,69.76,23.1,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2002-04-10 00:00:00,92.86,70.56,22.3,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2002-10-15 00:00:00,92.86,70.06,22.8,-122.8697,38.5921,53,"Irrigation","Adjacent"
"CA-DWR","385921N1228697W001",2003-04-09 00:00:00,92.86,70.66,22.2,-122.8697,38.5921,53,"Irrigation","Adjacent"
