"SegNum","stream_elev_m","stream_dtb_m","stream_width_m","WellNum","well_elev_m","well_screenTopDepth_m","well_screenBotDepth_m","well_wte_m","well_dtb_m","dist_wellToStream_m","mu_well_m","mf_well_m","mu_stream_m","mf_stream_m","Tr_well_m2d","Tr_stream_m2d","Tr_bulk_m2d","S_well","S_stream","S_bulk","lmda_m2d"
50,3.566,19.629,11.321,1,147.613,113.364,147.664,34.25,8.697,8412.603,0,34.3,19.629,0,9.371,7631.665,12.159,0.27,0.35,0.279,22.424
51,38.146,10.24,11.283,1,108.182,35.573,69.873,72.609,8.949,8246.22,0,34.463,10.24,0,9.416,3981.4,9.931,0.27,0.35,0.273,42.84
61,3.023,11.485,63.074,1,355.596,278.03,312.33,77.566,6.587,1576.498,0,74.542,11.485,28.758,20.366,4473.037,25.883,0.27,0.293,0.273,213.532
62,1.577,17.772,63.451,1,144.249,64.635,98.935,79.613,10.43,81.863,0,78.036,17.772,25.965,21.321,6916.7,63.57,0.27,0.303,0.282,138.816
63,4.161,11.25,61.706,1,88.144,17.267,51.567,70.876,11.055,4564.355,0,66.715,11.25,21.165,18.228,4379.855,21.938,0.27,0.298,0.272,213.254
64,4.706,12.207,61.244,1,103.019,39.579,73.879,63.44,10.966,5103.67,0,58.733,12.207,12.227,16.047,4749.332,18.983,0.27,0.31,0.272,195.068
65,6.095,12.271,60.267,1,179.941,123.074,157.374,56.867,9.846,6709.271,0,50.772,12.271,4.201,13.872,4772.252,20.213,0.27,0.33,0.275,190.946
66,6.88,11.583,59.295,1,234.281,185.2,219.5,49.082,9.102,7256.615,0,42.201,11.583,0,11.53,4503.476,18.273,0.27,0.35,0.277,199.032
67,7.214,11.519,57.928,1,299.003,258.432,292.732,40.571,10.395,8693.022,0,34.3,11.519,0,9.371,4478.502,16.298,0.27,0.35,0.279,195.528
132,1.82,17.73,12.521,1,269.029,180.67,214.97,88.359,9.237,3356.956,0,86.539,17.73,34.508,23.644,6903.014,28.755,0.27,0.297,0.272,27.457
