"SegNum","frac_depletion","WellNum","time_days","dist_wellToStream_m","Tr_bulk_m2d","S_bulk","lmda_m2d"
61,0.013,1,258,1591.016,25.883,0.273,213.532
62,0.943,1,258,82.059,63.57,0.282,138.816
336,0.044,1,258,1297.584,29.252,0.302,27.656
61,0.013,1,3543,1591.016,25.883,0.273,213.532
62,0.943,1,3543,82.059,63.57,0.282,138.816
336,0.044,1,3543,1297.584,29.252,0.302,27.656
61,0.013,1,18143,1591.016,25.883,0.273,213.532
62,0.943,1,18143,82.059,63.57,0.282,138.816
336,0.044,1,18143,1297.584,29.252,0.302,27.656
61,0.561,2,258,245.833,130.406,0.272,213.532
62,0.124,2,258,646.881,113.199,0.271,138.816
190,0.014,2,258,2512.718,60.621,0.27,21.387
336,0.302,2,258,632.709,72.304,0.27,27.656
61,0.561,2,3543,245.833,130.406,0.272,213.532
62,0.124,2,3543,646.881,113.199,0.271,138.816
190,0.014,2,3543,2512.718,60.621,0.27,21.387
336,0.302,2,3543,632.709,72.304,0.27,27.656
61,0.561,2,18143,245.833,130.406,0.272,213.532
62,0.124,2,18143,646.881,113.199,0.271,138.816
190,0.014,2,18143,2512.718,60.621,0.27,21.387
336,0.302,2,18143,632.709,72.304,0.27,27.656
61,0.878,3,258,280.332,42.915,0.272,213.532
62,0.112,3,258,753.115,41.959,0.271,138.816
63,0.011,3,258,2342.601,48.941,0.271,213.254
61,0.758,3,3543,280.332,42.915,0.272,213.532
62,0.097,3,3543,753.115,41.959,0.271,138.816
336,0.145,3,3543,1579.572,55.337,0.277,27.656
61,0.744,3,18143,280.332,42.915,0.272,213.532
62,0.095,3,18143,753.115,41.959,0.271,138.816
64,0.014,3,18143,2879.849,45.601,0.271,195.068
336,0.148,3,18143,1579.572,55.337,0.277,27.656
61,0.883,4,258,148.589,3609.26,0.273,213.532
62,0.014,4,258,1594.186,283.473,0.271,138.816
64,0.011,4,258,1959.451,116.081,0.271,195.068
336,0.092,4,258,1059.945,23.198,0.278,27.656
61,0.883,4,3543,148.589,3609.26,0.273,213.532
62,0.014,4,3543,1594.186,283.473,0.271,138.816
64,0.011,4,3543,1959.451,116.081,0.271,195.068
336,0.092,4,3543,1059.945,23.198,0.278,27.656
61,0.883,4,18143,148.589,3609.26,0.273,213.532
62,0.014,4,18143,1594.186,283.473,0.271,138.816
64,0.011,4,18143,1959.451,116.081,0.271,195.068
336,0.092,4,18143,1059.945,23.198,0.278,27.656
51,0.039,5,258,5069.382,33.65,0.27,42.84
61,0.805,5,258,704.733,25.307,0.271,213.532
62,0.065,5,258,2165.677,31.943,0.27,138.816
63,0.091,5,258,1118.991,44.754,0.271,213.254
51,0.028,5,3543,5069.382,33.65,0.27,42.84
61,0.585,5,3543,704.733,25.307,0.271,213.532
62,0.047,5,3543,2165.677,31.943,0.27,138.816
63,0.066,5,3543,1118.991,44.754,0.271,213.254
64,0.063,5,3543,1728.643,65.619,0.272,195.068
214,0.014,5,3543,3849.73,69.359,0.275,36.507
336,0.196,5,3543,1939.978,62.296,0.272,27.656
51,0.026,5,18143,5069.382,33.65,0.27,42.84
61,0.545,5,18143,704.733,25.307,0.271,213.532
62,0.044,5,18143,2165.677,31.943,0.27,138.816
63,0.061,5,18143,1118.991,44.754,0.271,213.254
64,0.059,5,18143,1728.643,65.619,0.272,195.068
66,0.012,5,18143,3858.982,50.916,0.271,199.032
