"SegNum","WellNum","time_days","pump_factor","Qs","frac_depletion","depletion_m3d"
61,1,258,0.5,0,0.013,0
61,1,3543,0.5,0.0219487,0.013,0.0002853
61,1,18143,0.5,0.1668886,0.013,0.0021696
61,1,258,1,0,0.013,0
61,1,3543,1,0.0438974,0.013,0.0005707
61,1,18143,1,0.3337771,0.013,0.0043391
61,1,258,1.5,0,0.013,0
61,1,3543,1.5,0.0658461,0.013,0.000856
61,1,18143,1.5,0.5006657,0.013,0.0065087
62,1,258,0.5,0.6477229,0.943,0.6108027
62,1,3543,0.5,0.7087019,0.943,0.6683059
62,1,18143,0.5,0.721245,0.943,0.680134
62,1,258,1,1.2954458,0.943,1.2216054
62,1,3543,1,1.4174038,0.943,1.3366117
62,1,18143,1,1.44249,0.943,1.360268
62,1,258,1.5,1.9431686,0.943,1.832408
62,1,3543,1.5,2.1261056,0.943,2.0049176
62,1,18143,1.5,2.163735,0.943,2.0404021
336,1,258,0.5,0,0.044,0
336,1,3543,0.5,0.0493148,0.044,0.0021699
336,1,18143,0.5,0.2084315,0.044,0.009171
336,1,258,1,0,0.044,0
336,1,3543,1,0.0986297,0.044,0.0043397
336,1,18143,1,0.416863,0.044,0.018342
336,1,258,1.5,0,0.044,0
336,1,3543,1.5,0.1479445,0.044,0.0065096
336,1,18143,1.5,0.6252945,0.044,0.027513
61,2,258,0.5,0.4286216,0.561,0.2404567
61,2,3543,0.5,0.5481755,0.561,0.3075265
61,2,18143,0.5,0.5736886,0.561,0.3218393
61,2,258,1,0.8572432,0.561,0.4809135
61,2,3543,1,1.096351,0.561,0.6150529
61,2,18143,1,1.1473772,0.561,0.6436786
61,2,258,1.5,1.2858649,0.561,0.7213702
61,2,3543,1.5,1.6445265,0.561,0.9225794
61,2,18143,1.5,1.7210658,0.561,0.9655179
62,2,258,0.5,0.0477479,0.124,0.0059207
62,2,3543,0.5,0.285842,0.124,0.0354444
62,2,18143,0.5,0.3551997,0.124,0.0440448
62,2,258,1,0.0954957,0.124,0.0118415
62,2,3543,1,0.571684,0.124,0.0708888
62,2,18143,1,0.7103994,0.124,0.0880895
62,2,258,1.5,0.1432436,0.124,0.0177622
62,2,3543,1.5,0.857526,0.124,0.1063332
62,2,18143,1.5,1.065599,0.124,0.1321343
190,2,258,0.5,0,0.014,0
190,2,3543,0.5,0.0192665,0.014,0.0002697
190,2,18143,0.5,0.1611922,0.014,0.0022567
190,2,258,1,0,0.014,0
190,2,3543,1,0.038533,0.014,0.0005395
190,2,18143,1,0.3223844,0.014,0.0045134
190,2,258,1.5,0,0.014,0
190,2,3543,1.5,0.0577994,0.014,0.0008092
190,2,18143,1.5,0.4835766,0.014,0.0067701
336,2,258,0.5,0.0186386,0.302,0.0056289
336,2,3543,0.5,0.2623317,0.302,0.0792242
336,2,18143,0.5,0.3458817,0.302,0.1044563
336,2,258,1,0.0372773,0.302,0.0112577
336,2,3543,1,0.5246635,0.302,0.1584484
336,2,18143,1,0.6917633,0.302,0.2089125
336,2,258,1.5,0.0559159,0.302,0.0168866
336,2,3543,1.5,0.7869952,0.302,0.2376725
336,2,18143,1.5,1.037645,0.302,0.3133688
61,3,258,0.5,0.1450508,0.878,0.1273546
61,3,3543,0.5,0.3486549,0.758,0.2642804
61,3,18143,0.5,0.3984709,0.744,0.2964623
61,3,258,1,0.2901016,0.878,0.2547092
61,3,3543,1,0.6973098,0.758,0.5285608
61,3,18143,1,0.7969418,0.744,0.5929247
61,3,258,1.5,0.4351524,0.878,0.3820638
61,3,3543,1.5,1.0459647,0.758,0.7928412
61,3,18143,1.5,1.1954126,0.744,0.889387
62,3,258,0.5,0.0008739,0.112,9.79e-05
62,3,3543,0.5,0.2012345,0.097,0.0195197
62,3,18143,0.5,0.3208791,0.095,0.0304835
62,3,258,1,0.0017478,0.112,0.0001957
62,3,3543,1,0.4024691,0.097,0.0390395
62,3,18143,1,0.6417582,0.095,0.060967
62,3,258,1.5,0.0026216,0.112,0.0002936
62,3,3543,1.5,0.6037036,0.097,0.0585592
62,3,18143,1.5,0.9626372,0.095,0.0914505
63,3,258,0.5,0,0.011,0
63,3,258,1,0,0.011,0
63,3,258,1.5,0,0.011,0
336,3,3543,0.5,0.0776144,0.145,0.0112541
336,3,18143,0.5,0.2375996,0.148,0.0351647
336,3,3543,1,0.1552288,0.145,0.0225082
336,3,18143,1,0.4751992,0.148,0.0703295
336,3,3543,1.5,0.2328431,0.145,0.0337623
336,3,18143,1.5,0.7127989,0.148,0.1054942
64,3,18143,0.5,0.1040061,0.014,0.0014561
64,3,18143,1,0.2080122,0.014,0.0029122
64,3,18143,1.5,0.3120183,0.014,0.0043683
61,4,258,0.5,0.8139421,0.883,0.7187109
61,4,3543,0.5,0.8316516,0.883,0.7343484
61,4,18143,0.5,0.8352558,0.883,0.7375309
61,4,258,1,1.6278842,0.883,1.4374217
61,4,3543,1,1.6633032,0.883,1.4686967
61,4,18143,1,1.6705116,0.883,1.4750617
61,4,258,1.5,2.4418262,0.883,2.1561326
61,4,3543,1.5,2.4949548,0.883,2.2030451
61,4,18143,1.5,2.5057674,0.883,2.2125926
62,4,258,0.5,0.0044224,0.014,6.19e-05
62,4,3543,0.5,0.2340615,0.014,0.0032769
62,4,18143,0.5,0.3363122,0.014,0.0047084
62,4,258,1,0.0088447,0.014,0.0001238
62,4,3543,1,0.4681229,0.014,0.0065537
62,4,18143,1,0.6726244,0.014,0.0094167
62,4,258,1.5,0.0132671,0.014,0.0001857
62,4,3543,1.5,0.7021844,0.014,0.0098306
62,4,18143,1.5,1.0089367,0.014,0.0141251
64,4,258,0.5,2.6e-06,0.011,0
64,4,3543,0.5,0.1105581,0.011,0.0012161
64,4,18143,0.5,0.2643348,0.011,0.0029077
64,4,258,1,5.2e-06,0.011,1e-07
64,4,3543,1,0.2211163,0.011,0.0024323
