Time,Qf.thres,web.exp,bias.overall,MAE.overall,depletion.prc.modflow.mean,depletion.prc.modflow.min,depletion.prc.modflow.max,RMSE.overall,MSE.overall,KGE.overall,pump
161,1e-04,1,-66.9,0.000909720368666693,0.00108875049083195,-0.000112537347341503,0.448652413697151,0.00909786068799421,8.27710690981504e-05,0.180802293735252,Intermittent
171,1e-04,1,-44.2,0.00117674978763425,0.00154739905344928,0.000104392038555049,0.506770292605909,0.0104889446255623,0.000110017959358113,0.406173692765808,Intermittent
181,1e-04,1,-33.4,0.00191374442986295,0.00263518434771797,0.000100605570686751,0.549918414826047,0.014164370061065,0.000200629379226796,0.511596764776196,Intermittent
191.3,1e-04,1,-27.4,0.00207391259427971,0.00297614329513508,-0.000110027711661352,0.583820510856156,0.0154414785177749,0.000238439258814905,0.572399169954595,Intermittent
201.7,1e-04,1,-23.7,0.00269105953731952,0.00393804234569174,-0.000105184555085623,0.609797441580525,0.0180301965867421,0.000325087988956568,0.604399943536063,Intermittent
212,1e-04,1,-21.5,0.00347377948596493,0.00521717092847718,-0.00011337389256822,0.630490928767734,0.0209119062223072,0.000437307821850573,0.623126853946621,Intermittent
222.3,1e-04,1,-20.4,0.00465404111403459,0.00714669607407031,-0.000130412997975561,0.647221833302073,0.0244906001836621,0.000599789497355988,0.627029784771067,Intermittent
232.7,1e-04,1,-20.1,0.00561788016557672,0.00877989445067384,-0.000124689267476971,0.660870729106402,0.0270556469098626,0.000732008029711156,0.624792059616412,Intermittent
243,1e-04,1,-20.6,0.00576348536361595,0.00915546459376038,-0.000102895062886187,0.672758477065012,0.0274750229214224,0.000754876884532686,0.617812823751966,Intermittent
253,1e-04,1,-20.7,0.00581693929890011,0.00930889228297592,-0.000129312280571986,0.682444790216472,0.0275398579891093,0.000758443778060311,0.6134289987898,Intermittent
263,1e-04,1,-21.1,0.0068679365498609,0.011086851164892,-0.000117556618701805,0.690810242483641,0.0298757784308187,0.000892562136847374,0.604410231697198,Intermittent
273,1e-04,1,-21.2,0.00694527365495882,0.0112675210665289,-0.0001427410328956,0.698295120827951,0.029997218849578,0.000899833138709475,0.597228165290758,Intermittent
283.3,1e-04,1,-21.5,0.00689453569233201,0.011235369173052,-0.000132042059732851,0.703578564365111,0.0296909976305206,0.000881555340295579,0.593161691676,Intermittent
293.7,1e-04,1,-23.2,0.0083747677419717,0.0137290945927451,-0.000101001828952038,0.71062315574799,0.0327268257521493,0.00107104512381154,0.565535437821987,Intermittent
304,1e-04,1,-23.3,0.00805626550266758,0.0133418380087021,0.00010029736981375,0.71634688624658,0.0318626633576734,0.00101522931624442,0.56270772944881,Intermittent
314,1e-04,1,-16.9,0.00415422007833398,0.00650551325509006,-0.000101001828952038,0.394144887872119,0.0196768468769983,0.000387178303020836,0.467480027213005,Intermittent
324,1e-04,1,-20.6,0.00501267460823855,0.00807614187621875,0.000100077226333035,0.330963708906917,0.0187564144777822,0.000351803084062358,0.470174955205636,Intermittent
