"staid","val","dates","qualcode"
"11468000",260,1950-10-01,"A"
"11468000",260,1950-10-02,"A"
"11468000",260,1950-10-03,"A"
"11468000",260,1950-10-04,"A"
"11468000",260,1950-10-05,"A"
"11468000",260,1950-10-06,"A"
"11468000",260,1950-10-07,"A"
"11468000",260,1950-10-08,"A"
"11468000",260,1950-10-09,"A"
"11468000",260,1950-10-10,"A"
"11468000",260,1950-10-11,"A"
"11468000",260,1950-10-12,"A"
"11468000",260,1950-10-13,"A"
"11468000",260,1950-10-14,"A"
"11468000",260,1950-10-15,"A"
"11468000",260,1950-10-16,"A"
"11468000",260,1950-10-17,"A"
"11468000",260,1950-10-18,"A"
"11468000",260,1950-10-19,"A"
"11468000",260,1950-10-20,"A"
"11468000",260,1950-10-21,"A"
"11468000",260,1950-10-22,"A"
"11468000",260,1950-10-23,"A"
"11468000",260,1950-10-24,"A"
"11468000",260,1950-10-25,"A"
"11468000",260,1950-10-26,"A"
"11468000",260,1950-10-27,"A"
"11468000",260,1950-10-28,"A"
"11468000",260,1950-10-29,"A"
"11468000",260,1950-10-30,"A"
"11468000",260,1950-10-31,"A"
"11468000",296,1950-11-01,"A"
"11468000",296,1950-11-02,"A"
"11468000",296,1950-11-03,"A"
"11468000",296,1950-11-04,"A"
"11468000",296,1950-11-05,"A"
"11468000",296,1950-11-06,"A"
"11468000",296,1950-11-07,"A"
"11468000",296,1950-11-08,"A"
"11468000",296,1950-11-09,"A"
"11468000",296,1950-11-10,"A"
"11468000",296,1950-11-11,"A"
"11468000",57,1950-11-12,"A"
"11468000",55,1950-11-13,"A"
"11468000",54,1950-11-14,"A"
"11468000",56,1950-11-15,"A"
"11468000",2180,1950-11-16,"A"
"11468000",1190,1950-11-17,"A"
"11468000",1410,1950-11-18,"A"
"11468000",1370,1950-11-19,"A"
"11468000",1010,1950-11-20,"A"
"11468000",1220,1950-11-21,"A"
"11468000",887,1950-11-22,"A"
"11468000",645,1950-11-23,"A"
"11468000",482,1950-11-24,"A"
"11468000",373,1950-11-25,"A"
"11468000",296,1950-11-26,"A"
"11468000",299,1950-11-27,"A"
"11468000",284,1950-11-28,"A"
"11468000",231,1950-11-29,"A"
"11468000",245,1950-11-30,"A"
"11468000",267,1950-12-01,"A"
"11468000",288,1950-12-02,"A"
"11468000",11700,1950-12-03,"A"
"11468000",6600,1950-12-04,"A"
"11468000",2490,1950-12-05,"A"
"11468000",2000,1950-12-06,"A"
"11468000",2580,1950-12-07,"A"
"11468000",2100,1950-12-08,"A"
"11468000",2060,1950-12-09,"A"
"11468000",1580,1950-12-10,"A"
"11468000",1730,1950-12-11,"A"
"11468000",1460,1950-12-12,"A"
"11468000",1240,1950-12-13,"A"
"11468000",2120,1950-12-14,"A"
"11468000",1840,1950-12-15,"A"
"11468000",1440,1950-12-16,"A"
"11468000",1150,1950-12-17,"A"
"11468000",928,1950-12-18,"A"
"11468000",770,1950-12-19,"A"
"11468000",645,1950-12-20,"A"
"11468000",546,1950-12-21,"A"
"11468000",475,1950-12-22,"A"
"11468000",410,1950-12-23,"A"
"11468000",359,1950-12-24,"A"
"11468000",320,1950-12-25,"A"
"11468000",284,1950-12-26,"A"
"11468000",245,1950-12-27,"A"
"11468000",223,1950-12-28,"A"
"11468000",203,1950-12-29,"A"
"11468000",203,1950-12-30,"A"
"11468000",188,1950-12-31,"A"
"11468000",159,1951-01-01,"A"
"11468000",161,1951-01-02,"A"
"11468000",650,1951-01-03,"A"
"11468000",701,1951-01-04,"A"
"11468000",597,1951-01-05,"A"
"11468000",508,1951-01-06,"A"
"11468000",435,1951-01-07,"A"
"11468000",410,1951-01-08,"A"
"11468000",403,1951-01-09,"A"
"11468000",1610,1951-01-10,"A"
"11468000",2920,1951-01-11,"A"
"11468000",3310,1951-01-12,"A"
"11468000",1870,1951-01-13,"A"
"11468000",1330,1951-01-14,"A"
"11468000",1660,1951-01-15,"A"
"11468000",1770,1951-01-16,"A"
"11468000",2970,1951-01-17,"A"
"11468000",5660,1951-01-18,"A"
"11468000",4120,1951-01-19,"A"
"11468000",2510,1951-01-20,"A"
"11468000",8300,1951-01-21,"A"
